Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
SAYIN:,,,,,,,,,,
ADRES:,,,,,,,,,,
TARİH:,,,,,,,,,,
KIRIM İŞLERİ,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
SERAMİKLERİN KIRILMASI,,,,,,,,0,,0
PARKELERİN SÖKÜLMESİ,,,,,,,,0,,0
DOLAPLARIN SÖKÜLMESİ,,,,,,,,0,,0
DEMİR KAPI KASALARININ SÖKÜLMESİ,,,,,,,,0,,0
BALKON DUVARI KIRILMASI,,,,,,,,0,,0
MUTFAK GİRİŞ DUVARI KIRILMASI,,,,,,,,0,,0
ŞAPIN KALDIRILMASI,,,,,,,,0,,0
ŞAP ATILMASI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
DUVAR İŞLERİ,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
DUVAR ÖRÜLMESİ,,,,,,,,0,,0
MANTOLAMA YAPILMASI,,,,,,,,0,,0
DEKORATİF SIVA UYGULAMASI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
YAPI İŞLERİ,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
TEMİZ SU TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
PİS SU TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
KALORİFER TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
ELEKTRİK TESİSATININ PROJEYE UYGUN HAZIRLANMASI,,,,,,,,0,,0
,,,,,,,,,,
MEVCUT ÖLÇÜLERE GÖRE ALÜMİNYUM PETEK DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
ALÜMİNYUM HAVLUPAN DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
DOĞALGAZ TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
DOĞALGAZ PROJELENDİRME VE GAZ AÇIMI,,,,,,,,0,,0
,,,,,,,,,,
ANAHTAR PRİZ DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
RADYATÖR DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
KOMBİ DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
KAMERA SİSTEMİ KURULUMU,,,,,,,,0,,0
,,,,,,,,,,
ANKASTRE SES SİSTEMİ,,,,,,,,0,,0
,,,,,,,,,,
FERFORJE KORKULUK,,,,,,,,0,,0
,,,,,,,,,,
,,,,,,Toplam:,,0,,
,,,,,,,,,,
ALÇI-SIVA-BOYA,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
SALON ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
MUTFAK ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
ANTRE ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
HOL ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
OTURMA ODASI ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
ÇOCUK ODASI ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
YATAK ODASI ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
2. YATAK ODASI ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
BANYO ALÇIPAN TAVAN,,,,,,,,0,,0
,,,,,,,,,,
WC ALÇIPAN TAVAN,,,,,,,,0,,0
,,,,,,,,,,
EBEVEYN BANYOSU ALÇIPAN TAVAN,,,,,,,,0,,0
,,,,,,,,,,
ALÇIPAN TV ÜNİTESİ,,,,,,,,0,,0
,,,,,,,,,,
ALÇILAMA İŞLEMLERİ,,,,,,,,0,,0
,,,,,,,,,,
MAKİNELİ ZIMPARA UYGULAMASI,,,,,,,,0,,0
,,,,,,,,,,
POLİZOLAN ASTAR UYGULAMASI,,,,,,,,0,,0
,,,,,,,,,,
DAİRENİN BOYANMASI,,,,,,,,0,,0
,,,,,,,,,,
TAVANLARA KABA KARIŞIK+ SATEN ALÇI ÇEKİLMESİ,,,,,,,,0,,0
,,,,,,,,,,
DUVARLARA SATEN ALÇI ÇEKİLMESİ,,,,,,,,0,,0
,,,,,,,,,,
FİLELİ ALÇI ÇEKİLMESİ,,,,,,,,0,,0
,,,,,,,,,,
DEKORATİF ÇITALAMA YAPILMASI,,,,,,,,0,,0
,,,,,,,,,,
,,,,,,Toplam:,,0,,
,,,,,,,,,,
SERAMİK,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
SERAMİKLER,,,,,,,,0,,0
YAPIŞTIRICI,,,,,,,,0,,0
YAN ÜRÜNLERİ,,,,,,,,0,,0
NAKLİYE VE HAMMALİYE,,,,,,,,0,,0
İŞÇİLİK,,,,,,,,0,,0
DUŞAKABİN ALTINA MERMER+ GRANİT,,,,,,,,0,,0
KAPI EŞİĞİNE MERMER+ GRANİT,,,,,,,,0,,0
SU İZOLASYONUN YAPILMASI,,,,,,,,0,,0
OTURMA ALANI OLUŞTURULMASI,,,,,,,,0,,0
NİŞ YAPILMASI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
AYDINLATMA ELEMANLARI,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
KRİSTAL CAM SPOT,,,,,,,,0,,0
STANDART SPOT,,,,,,,,0,,0
RAY SPOT,,,,,,,,0,,0
LED,,,,,,,,0,,0
TRAFO,,,,,,,,0,,0
APLİK,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
PARKE,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
LAMİNAT PARKE,,,,,,,,0,,0
KAPRON,,,,,,,,0,,0
SÜPÜRGELİK,,,,,,,,0,,0
NAKLİYE VE HAMMALİYE,,,,,,,,0,,0
İŞÇİLİK,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
KAPILAR,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
ODA KAPILARI,,,,,,,,0,,0
CAMLI ODA KAPILARI,,,,,,,,0,,0
SÜRGÜLÜ ODA KAPILARI,,,,,,,,0,,0
SÜRGÜ KAPI DEMİR KONSTRÜKSİYON,,,,,,,,0,,0
SÜRGÜ MEKANİZMASI,,,,,,,,0,,0
ÇELİK KAPI,,,,,,,,0,,0
KAPI MONTAJI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
MOBİLYA,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
MUTFAK DOLAPLARI İMALAT VE MONTAJ,,,,,,,,,,0
TEZGAH,,,,,,,,,,0
BATARYA ,,,,,,,,,,0
MOBİLYA MEKANİZMALARI,,,,,,,,,,0
VESTİYER,,,,,,,,,,0
GARDROP,,,,,,,,,,0
BANYO DOLABI,,,,,,,,,,0
LAVABO DOLABI,,,,,,,,,,0
MAKİNE DOLABI,,,,,,,,,,0
KİLER DOLABI,,,,,,,,,,0
TELORE KAPAK,,,,,,,,,,0
AHŞAP MERDİVEN KAPLAMA,,,,,,,,,,0
,,,,,,Toplam:,,0,,
VİTRİFİYE,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
GÖMME REZERVUAR,,,,,,,,0,,0
ALAFRANGA,,,,,,,,0,,0
ALATURKA,,,,,,,,0,,0
DUŞAKABİN,,,,,,,,0,,0
DUŞ KANALI,,,,,,,,0,,0
YER SÜZGECİ,,,,,,,,0,,0
ANKASTRE DUŞ SİSTEMİ,,,,,,,,0,,0
DUŞ ROBOTU,,,,,,,,0,,0
DUŞ BATARYASI,,,,,,,,0,,0
DUŞ TEKNESİ,,,,,,,,0,,0
KÜVET,,,,,,,,0,,0
LAVABO TEZGAHI,,,,,,,,0,,0
LAVABO ,,,,,,,,0,,0
LAVABO BATARYASI,,,,,,,,0,,0
ARA MUSLUKLAR,,,,,,,,0,,0
HAVALANDIRMA MENFEZİ,,,,,,,,0,,0
HAVALANDIRMA MOTORU,,,,,,,,0,,0
BANYO AKSESUARLARI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
VİTRİFİYE,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
ODA DOĞRAMALARI,,,,,,,,0,,0
BALKON FRANSIZ ÇIKIŞ,,,,,,,,0,,0
BALKON SÜRGÜLÜ PVC,,,,,,,,0,,0
BALKON SÜRGÜLÜ ALÜMİNYUM,,,,,,,,0,,0
CAM BALKON TEK CAM,,,,,,,,0,,0
CAM BALKON ISICAM,,,,,,,,0,,0
KONFOR CAM FARKI,,,,,,,,0,,0
ÇİFT KANAT FARKI,,,,,,,,0,,0
MERMER FARKI,,,,,,,,0,,0
PERVAZ FARKI,,,,,,,,0,,0
SİNEKLİK FARKI,,,,,,,,0,,0
NİRVANA SERİSİ FARKI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
,,,,,,,,,,
TOTAL FİYAT:,,,,,,,,0,,
,,,,,,,,,,
,,,,,,,,,,
* FİYAT TEKLİFİMİZE KDV DAHİL DEĞİLDİR,,,,,,,,,,
* FİYAT TEKLİFİMİZ 7 GÜN GEÇERLİDİR,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Adres:                                                                       ,,,,,Teklifi Hazırlayan Kişi:                                                                                                                       ,,,,,
"Başak, ARC Çarşı, Yunus Emre Cd.",,,,,Kurucu Ahmet Furkan Acar,,,,,
"No:23/G, 34480 Başakşehir/İstanbul",,,,,İletişim Bilgileri: 0535 783 27 82,,,,,
